Lemma,Sense Key,Definition,Frequency
dliged,law%1:09:01::,a generalization that describes recurring facts or events in nature,6
imḟognam,construction%1:10:01::,a group of words that form a constituent of a sentence and are considered as a single unit,4
folad,substance%1:03:00::,the real physical matter of which a person or thing consists,21
slond,express%2:32:02::,serve as a means for expressing something,7
intliucht,meaning%1:09:00::,the idea that is intended,8
gnúis,specie%1:21:00::,coins collectively,3
dechor,difference%1:07:00::,the quality of being unlike or dissimilar,13
coindelg,comparison%1:24:00::,relation based on similarities and differences,3
liter,letter%1:10:01::,the conventional characters of the alphabet used to represent speech,21
cen,other%3:00:00::,not the same one or ones already mentioned or implied; - the White Queen,5
dúil,element%1:09:00::,an abstract part of something,3
son,word%1:10:00::,a unit of language that native speakers can identify,11
dasian,rough%3:00:00::,having or caused by an irregular surface,3
rann,part%1:17:00::,a portion of a natural object,7
insce,speech%1:10:00::,(language) communication by word of mouth,6
cumachtae,power%1:07:00::,possession of controlling influence,5
fogur,sound%1:07:00::,the particular auditory effect produced by a given cause,24
méit,quantity%1:07:00::,an adequate or large amount,4
cárachtar,character%1:09:00::,a characteristic property that defines the apparent individual nature of something,4
cumachtae,power%1:07:02::,physical strength,3
derb,certain%5:00:00:definite:00,definite but not specified or identified,3
tosach,beginning%1:09:00::,the first part or section of something,3
aile,other%3:00:00::,not the same one or ones already mentioned or implied; - the White Queen,28
cenn,far%4:02:00::,at or to or from a great distance in space,4
fo,accord%2:42:00::,go together,8
co,so%4:02:06::,in a manner that facilitates,4
comṡuidigud,composition%1:04:02::,musical creation,22
sillab,syllable%1:10:00::,a unit of spoken language larger than a phoneme,34
slond,signify%2:32:02::,denote or connote,6
genitiu,genitive%3:01:00::,serving to express or indicate possession,15
díall,declension%1:24:00::,the inflection of nouns and pronouns and adjectives in Indo-European languages,25
inne,meaning%1:10:00::,the message that is intended or expressed or signified,3
re,before%4:02:03::,earlier in time; previously,6
ám,indeed%4:02:03::,in truth (often tends to intensify),8
guthaigthe,vowel%1:10:00::,a speech sound made with the vocal tract open,4
didiu,then%4:02:02::,in that case or as a consequence,9
ord,order%1:14:00::,logical or comprehensible arrangement of separate elements,4
dobeir,therefore%4:02:00::,(used to introduce a logical conclusion) from that fact or reason or as a result,11
fot,length%1:07:01::,continuance in time,3
trá,then%4:02:02::,in that case or as a consequence,3
follus,clear%3:00:00::,readily apparent to the mind,5
ainm,name%1:10:00::,a language unit by which a person or thing is known,24
coitchenn,common%5:00:00:familiar:02,commonly encountered,11
cenn,below%4:02:00::,at a later place,3
dano,then%4:02:02::,in that case or as a consequence,18
liter,letter%1:10:00::,a written message addressed to a person or organization,3
conson,consonant%1:10:01::,a letter of the alphabet standing for a spoken consonant,9
ainm,noun%1:10:01::,"the word class that can serve as the subject or object of a verb, the object of a preposition, or in apposition",15
ainm,name%1:26:00::,a person's reputation,6
grécde,greek%3:01:01::,of or relating to or characteristic of Greece or the Greeks or the Greek language,9
sen,ancient%5:00:00:past:00,belonging to times long past especially of the historical period before the fall of the Western Roman Empire,3
tinfed,aspiration%1:07:00::,a will to succeed,13
sain,different%5:00:00:other:00,distinctly separate from the first,8
guttae,vowel%1:10:00::,a speech sound made with the vocal tract open,12
suide,case%1:26:00::,a special set of circumstances,4
nathir,snake%1:05:00::,limbless scaly elongate reptile; some are venomous,4
lín,number%1:23:00::,a concept of quantity involving zero and units,4
sainred,peculiarity%1:09:00::,an odd or unusual characteristic,3
conson,consonant%1:10:00::,a speech sound that is not a vowel,14
rann,part%1:06:00::,something less than the whole of a human artifact,14
méit,so%4:02:02::,to a very great extent or degree,4
cían,sometimes%4:02:01::,on certain occasions or in certain cases but not always,3
oín,same%3:00:02::,same in identity,6
ainmmnid,nominative%1:10:00::,the category of nouns serving as the grammatical subject of a verb,10
comṡuidigthe,compound%2:30:00::,put or add together,3
díṡruthigthe,derive%2:30:01::,come from,3
loc,place%1:15:01::,a general vicinity,3
cía,also%4:02:00::,in addition,7
son,sound%1:07:00::,the particular auditory effect produced by a given cause,7
cétnae,same%3:00:02::,same in identity,11
folad,substance%1:09:00::,the idea that is intended,28
incoisig,signify%2:32:02::,denote or connote,3
óindae,single%3:00:00::,being or characteristic of a single thing or person,3
sluindid,express%2:32:01::,give expression to,4
genitiu,genitive%1:10:00::,the case expressing ownership,21
sainred,peculiarity%1:07:02::,a distinguishing trait,3
coitchenn,common%5:00:00:shared:00,common to or shared by two or more parties,11
cummae,same%3:00:02::,same in identity,3
beus,still%4:02:01::,"with reference to action or condition; without change, interruption, or cessation",3
cumscugud,change%1:24:00::,a relational difference between states; especially between states before and after some event,3
cosmail,alike%4:02:00::,equally,3
dano,also%4:02:00::,in addition,8
sechmadachte,preterite%1:24:00::,a term formerly used to refer to the simple past tense,12
teirt,third%5:00:00:ordinal:00,coming next after the second and just before the fourth in position,8
suide,here%4:02:02::,in this circumstance or respect or on this point or detail,8
coibnestae,akin%5:00:00:similar:00,similar in quality or character,4
nammá,only%4:02:01::,without any others being included or involved,4
timortae,short%3:00:01::,(primarily spatial sense) having little length or lacking in length,4
il,many%3:00:00::,a quantifier that can be used with count nouns and is often preceded by `as' or `too' or `so' or `that'; amounting to a large but indefinite number,17
cathair,city%1:15:00::,a large and densely populated urban area; may include several independent administrative districts,5
becc,small%5:00:00:limited:00,limited in size or scope,3
comaccomol,conjunction%1:10:00::,an uninflected function word that serves to conjoin words or phrases or clauses or sentences,3
dobríathar,adverb%1:10:01::,the word class that qualifies verbs or clauses,13
dobeir,put%2:35:00::,put into a certain place or abstract location,3
epert,word%1:10:00::,a unit of language that native speakers can identify,3
déḟogur,diphthong%1:10:00::,a vowel sound that starts near the articulatory position for one vowel and moves toward the position for another,7
techtaid,have%2:42:00::,have as a feature,7
asbeir,say%2:32:01::,report or maintain,21
comṡuidigthe,compound%1:09:00::,a whole formed by a union of two or more elements or parts,6
airdíxa,long%3:00:01::,primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified,3
cétnae,first%5:00:00:ordinal:00,indicating the beginning unit in a series,9
cétnae,first%5:00:01:opening:00,serving to begin,4
afracdae,african%3:01:00::,of or relating to the nations of Africa or their peoples,3
íth,pottage%1:13:01::,thick (often creamy) soup,3
ainmmnid,nominative%3:01:00::,serving as or indicating the subject of a verb and words identified with the subject of a copular verb,13
loc,place%1:04:01::,the post or function properly or customarily occupied or served by another,3
dogní,make%2:36:11::,make by shaping or bringing together constituents,5
comṡuidigud,compound%1:09:00::,a whole formed by a union of two or more elements or parts,3
dliged,law%1:09:00::,a rule or body of rules of conduct inherent in human nature and essential to or binding upon human society,3
díuit,simple%3:00:02::,having few parts; not complex or complicated or involved,8
éicen,necessary%3:00:00::,absolutely essential,4
íar,then%4:02:02::,in that case or as a consequence,5
dofoirndea,signify%2:32:02::,denote or connote,5
rann,part%1:24:00::,something determined in relation to something that includes it,3
aimser,time%1:28:03::,a reading of a point in time as given by a clock,6
ainm,noun%1:10:00::,"a content word that can be used to refer to a person, place, thing, quality, or action",33
díles,proper%5:00:00:real:02,having all the qualities typical of the thing specified,4
tórand,signification%1:10:00::,the message that is intended or expressed or signified,3
inne,quality%1:07:02::,a degree or grade of excellence or worth,3
díles,proper%3:00:00::,marked by suitability or rightness or appropriateness,6
rann,part%1:09:00::,one of the portions into which something is regarded as divided and which together constitute a whole,3
gním,action%1:26:00::,the state of being active,9
césad,passion%1:16:00::,an irrational but irresistible motive for a belief or action,12
frecrae,answer%1:10:02::,a statement that solves a problem or explains how to solve the problem,3
maith,good%3:00:02::,morally admirable,3
olc,bad%3:00:00::,having undesirable or negative qualities,3
persan,person%1:03:00::,a human being,16
cíall,sense%1:09:05::,a general conscious awareness,9
randatu,particularity%1:07:00::,the quality of being particular and pertaining to a specific case or instance,3
comaisndís,apposition%1:24:00::,a grammatical relation between a word and a noun phrase that follows,4
inchosc,signify%2:32:02::,denote or connote,4
oín,single%3:00:00::,being or characteristic of a single thing or person,7
comaisndís,apposition%1:22:00::,(biology) growth in the thickness of a cell wall by the deposit of successive layers of material,12
érchoiliud,definition%1:10:00::,a concise explanation of the meaning of a word or phrase or symbol,8
