rank,synset_id,pos,lexfile,category,link_count,english_lemmas,definition
1,oewn-00001740-n,n,noun.Tops,top_concept,123,entity,that which is perceived or known or inferred to have its own distinct existence (living or nonliving)
2,oewn-00002137-n,n,noun.Tops,top_concept,105,"abstraction, abstract entity",a general concept formed by extracting common features from specific examples
3,oewn-00032220-n,n,noun.Tops,top_concept,30,relation,an abstraction belonging to or characteristic of two entities or parts together
4,oewn-00024444-n,n,noun.Tops,top_concept,21,attribute,an abstraction belonging to or characteristic of an entity
5,oewn-00001930-n,n,noun.Tops,top_concept,19,physical entity,an entity that has physical existence
6,oewn-00031563-n,n,noun.Tops,top_concept,18,"grouping, group",any number of entities (members) considered as a unit
7,oewn-00023280-n,n,noun.Tops,top_concept,17,psychological feature,a feature of the mental life of a living organism
8,oewn-00023451-n,n,noun.Tops,top_concept,17,"cognition, noesis, knowledge",the psychological result of perception and learning and reasoning
9,oewn-00002684-n,n,noun.Tops,top_concept,12,"object, physical object",a tangible and visible entity; an entity that can cast a shadow
10,oewn-00033319-n,n,noun.Tops,top_concept,12,communication,something that is communicated by or to or between people or groups
11,oewn-00003553-n,n,noun.Tops,top_concept,7,"unit, whole",an assemblage of parts that is regarded as a single entity
12,oewn-00007347-n,n,noun.Tops,top_concept,7,"cause, causal agency, causal agent",any entity that produces an effect or is responsible for events or results
13,oewn-00004258-n,n,noun.Tops,top_concept,5,"animate thing, living thing",a living (or once living) entity
14,oewn-00004475-n,n,noun.Tops,top_concept,5,"being, organism",a living thing that has (or can develop) the ability to act or function independently
15,oewn-00024900-n,n,noun.Tops,top_concept,5,state,the way something is with respect to its main attributes
16,oewn-00029677-n,n,noun.Tops,top_concept,5,event,something that happens at a given place and time
17,oewn-00030657-n,n,noun.Tops,top_concept,5,"human action, human activity, deed, act",something that people do or cause to happen
18,oewn-00027365-n,n,noun.Tops,top_concept,4,location,a point or extent in space; a point or extent in space
19,oewn-00021007-n,n,noun.Tops,top_concept,3,matter,that which has mass and occupies space
20,oewn-00033914-n,n,noun.Tops,top_concept,3,"measure, amount, quantity",how much there is or how many there are of something that you can quantify
21,oewn-00020270-n,n,noun.Tops,top_concept,2,substance,a particular kind or species of matter with uniform properties
22,oewn-00021445-n,n,noun.Tops,top_concept,2,"food, nutrient",any substance that can be metabolized by an animal to give energy and build tissue
23,oewn-00002452-n,n,noun.Tops,top_concept,1,thing,a separate and self-contained entity
24,oewn-00015568-n,n,noun.Tops,top_concept,1,"beast, brute, animal, animate being, fauna, creature",a living organism characterized by voluntary movement
25,oewn-00019308-n,n,noun.Tops,top_concept,1,natural object,an object occurring naturally; not made by man
26,oewn-00022119-n,n,noun.Tops,top_concept,1,"artefact, artifact",a man-made object taken as a whole
27,oewn-00026390-n,n,noun.Tops,top_concept,1,feeling,the experiencing of affective and emotional states
28,oewn-00028468-n,n,noun.Tops,top_concept,1,time,the continuum of experience in which events pass from the future through the present to the past
29,oewn-00029976-n,n,noun.Tops,top_concept,1,"process, physical process",a sustained phenomenon or one marked by gradual changes through a series of states
49,oewn-06294878-n,n,noun.communication,bridging,20,"language unit, linguistic unit",one of the natural units into which linguistic messages can be analyzed
50,oewn-07968050-n,n,noun.group,bridging,14,"assemblage, accumulation, aggregation, collection",several things grouped together or considered as a whole
51,oewn-06320373-n,n,noun.communication,bridging,13,"grammatical category, syntactic category",(grammar) a category of words having the same grammatical properties
52,oewn-08014145-n,n,noun.group,bridging,13,"class, family, category",a collection of things sharing a common attribute
53,oewn-05817200-n,n,noun.cognition,bridging,12,"content, cognitive content, mental object","the sum or range of what has been perceived, discovered, or learned"
54,oewn-05842164-n,n,noun.cognition,bridging,10,"idea, thought",the content of cognition; the main thing you are thinking about
55,oewn-05844071-n,n,noun.cognition,bridging,9,"conception, concept, construct",an abstract or general idea inferred or derived from specific instances
56,oewn-04923519-n,n,noun.attribute,bridging,8,property,a basic or essential property shared by all members of a class
57,oewn-04731092-n,n,noun.attribute,bridging,5,quality,an essential and distinguishing attribute of something or someone
58,oewn-06300030-n,n,noun.communication,bridging,5,"open-class word, content word",a word to which an independent meaning can be assigned
59,oewn-06328457-n,n,noun.communication,bridging,4,"part of speech, form class, word class",one of the traditional categories of words intended to reflect their functions in a grammatical context
60,oewn-06328665-n,n,noun.communication,bridging,4,major form class,any of the major parts of speech of traditional grammar
61,oewn-06804229-n,n,noun.communication,bridging,4,"signal, sign, signaling, signalling",any nonverbal action or gesture that encodes a message
62,oewn-06819327-n,n,noun.communication,bridging,4,symbol,an arbitrary sign (written or printed) that has acquired a conventional significance
63,oewn-06830481-n,n,noun.communication,bridging,4,"printed symbol, written symbol",a written or printed symbol
64,oewn-13818991-n,n,noun.relation,bridging,4,grammatical relation,a linguistic relation established by grammar
65,oewn-13819354-n,n,noun.relation,bridging,4,linguistic relation,a relation between linguistic forms or constituents
66,oewn-00408356-n,n,noun.act,bridging,3,activity,any specific behavior
67,oewn-10255246-n,n,noun.person,bridging,3,"relation, relative",a person related by blood or marriage
68,oewn-06331794-n,n,noun.communication,bridging,3,"qualifier, modifier",a content word that qualifies the meaning of a noun or verb
69,oewn-06332695-n,n,noun.communication,bridging,3,adjective,a word that expresses an attribute of something
70,oewn-06334605-n,n,noun.communication,bridging,3,adverb,a word that modifies something other than a noun
71,oewn-06611268-n,n,noun.communication,bridging,3,"content, substance, subject matter, message",content communicating a message; what something is about
72,oewn-07125755-n,n,noun.communication,bridging,3,"phone, sound, speech sound",(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
73,oewn-04623416-n,n,noun.attribute,bridging,2,trait,a distinguishing feature of your personal nature
74,oewn-05097645-n,n,noun.attribute,bridging,2,magnitude,the property of relative size or extent (whether large or small)
75,oewn-05115065-n,n,noun.attribute,bridging,2,amount,the relative magnitude of something with reference to a criterion
76,oewn-00576778-n,n,noun.act,bridging,2,work,activity directed toward making or doing something
77,oewn-09786620-n,n,noun.person,bridging,2,"doer, actor, worker",a person who acts and gets things done
78,oewn-09937706-n,n,noun.person,bridging,2,"child, kid",a human offspring (son or daughter) of any age
79,oewn-10393697-n,n,noun.person,bridging,2,"issue, offspring, progeny",the immediate descendants of a person
80,oewn-07571428-n,n,noun.food,bridging,2,"food, solid food",any solid substance (as opposed to liquid) that is used as a source of nourishment
81,oewn-06301417-n,n,noun.communication,bridging,2,"form, signifier, descriptor, word form",the phonological or orthographic sound or appearance of a word that can be used to describe or identify something
82,oewn-06302098-n,n,noun.communication,bridging,2,"function word, closed-class word",a word that is uninflected and serves a grammatical function but has little identifiable meaning
83,oewn-06314530-n,n,noun.communication,bridging,2,substantive,any word or group of words functioning as a noun
84,oewn-06322324-n,n,noun.communication,bridging,2,"oblique, oblique case",any grammatical case other than the nominative
85,oewn-06735202-n,n,noun.communication,bridging,2,statement,a message that is stated or declared; a communication (oral or written) setting forth particulars or facts etc
86,oewn-07123727-n,n,noun.communication,bridging,2,auditory communication,communication that relies on hearing
87,oewn-05677778-n,n,noun.cognition,bridging,2,"state of mind, cognitive state",the state of a person's cognitive processes
88,oewn-05709328-n,n,noun.cognition,bridging,2,"operation, process, cognitive operation, cognitive process, mental process",(psychology) the performance of some composite cognitive activity; an operation that affects mental contents
89,oewn-05824413-n,n,noun.cognition,bridging,2,information,knowledge acquired through study or experience or instruction
90,oewn-05857567-n,n,noun.cognition,bridging,2,"property, dimension, attribute",a construct whereby objects or individuals can be distinguished
91,oewn-00109468-v,v,verb.change,bridging,2,change,undergo a change; become different in essence; losing one's or its original nature
92,oewn-00169459-v,v,verb.change,bridging,2,change magnitude,change in size or magnitude
93,oewn-15071467-n,n,noun.substance,bridging,2,solid,matter that is solid at room temperature and pressure
94,oewn-08637636-n,n,noun.location,bridging,2,point,the precise location of something; a spatially limited location
95,oewn-08648560-n,n,noun.location,bridging,2,region,a large indefinite location on the surface of the Earth
96,oewn-13825132-n,n,noun.relation,bridging,2,voice,(linguistics) the grammatical relation (active or passive) of the grammatical subject of a verb to the action that the verb denotes
97,oewn-13943868-n,n,noun.state,bridging,2,"condition, status",a state at a particular time
98,oewn-14396987-n,n,noun.state,bridging,2,"psychological condition, psychological state, mental condition, mental state",(psychology) a mental condition in which the qualities of a state are relatively constant even though the state itself may be dynamic
99,oewn-07955013-n,n,noun.group,bridging,2,arrangement,an orderly grouping (of things or persons) considered as a unit; the result of arranging
